trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.9, 'e': 0.8832701623202105}",25,0,-161.87816802181655,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
63,False,"{'a': 0.9, 'e': 0.8815036219955701}",35,0,-90.74395474647358,"{0: 25, 1: 5, 2: 2, 3: 2, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.8797406147515789}",25,0,-173.66159777408,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.9, 'e': 0.8779811335220757}",25,0,-136.60041509338384,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.9, 'e': 0.8762251712550316}",25,3,-223.6958838413963,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 4}",1
67,False,"{'a': 0.9, 'e': 0.8744727209125216}",20,0,-53.35415623813748,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.9, 'e': 0.8727237754706965}",20,3,-7.701828702089062,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.8709783279197552}",20,0,-70.96456682300915,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.8692363712639156}",20,0,-218.59756519551692,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
71,False,"{'a': 0.9, 'e': 0.8674978985213878}",20,4,-46.751949150484286,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.9, 'e': 0.865762902724345}",20,0,-43.16336075250653,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.9, 'e': 0.8640313769188963}",20,0,-94.73090368927083,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.9, 'e': 0.8623033141650585}",25,0,-151.41178415713267,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
75,False,"{'a': 0.9, 'e': 0.8605787075367284}",30,0,-210.89702687817885,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
76,False,"{'a': 0.9, 'e': 0.8588575501216549}",30,0,-197.90434100688552,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
77,False,"{'a': 0.9, 'e': 0.8571398350214117}",30,0,-188.40065959261494,"{0: 13, 1: 8, 2: 5, 3: 2, 4: 2}",0
78,False,"{'a': 0.9, 'e': 0.8554255553513688}",25,0,-91.84286532028848,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.8537147042406661}",30,3,-92.8745847567983,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 1}",1
80,False,"{'a': 0.9, 'e': 0.8520072748321847}",35,0,-181.43104881237377,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.9, 'e': 0.8503032602825203}",30,0,-154.90198358351637,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.9, 'e': 0.8486026537619553}",25,0,-113.47582247368707,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
83,False,"{'a': 0.9, 'e': 0.8469054484544314}",30,0,-155.57324083860522,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.8452116375575225}",25,11,6.032656260139966,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.8435212142824074}",25,12,-33.25507130716776,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.8418341718538427}",35,0,-245.95586691140971,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 5}",0
87,False,"{'a': 0.9, 'e': 0.840150503510135}",20,0,-85.2514936034528,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.8384702025031147}",30,16,-18.652538708507258,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.8367932620981084}",25,11,-62.947373534687216,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
